model,dim,dim_name,emergent,shap_mean_abs,shap_mean_signed
IDEFICS-2,MCr,Identifying Relevant Information,no,0.00713,-0.00054
IDEFICS-2,QLl,Logical Reasoning,no,0.00632,-0.00038
IDEFICS-2,CL,"Conceptualisation, Learning, and Abstraction",no,0.00457,+0.00013
IDEFICS-2,VO,Volume,no,0.00422,+0.00028
InternLM-XComposer2,AT,Atypicality,no,0.02179,-0.00047
InternLM-XComposer2,AS,Attention and Scan,no,0.02096,+0.00200
InternLM-XComposer2,MA,Multi-Element Visual Aggregation,yes,0.01946,-0.00046
InternLM-XComposer2,KNf,Formal Sciences,no,0.01559,+0.00042
InternLM-XComposer2,GS,Gestalt and Shape Judgment,yes,0.01429,+0.00018
InternLM-XComposer2,MCr,Identifying Relevant Information,no,0.01327,+0.00054
InternLM-XComposer2,QLl,Logical Reasoning,no,0.01111,-0.00028
InternLM-XComposer2,VL,Visual Localization and Grounding,yes,0.00851,-0.00064
InternLM-XComposer2,QLq,Quantitative Reasoning,no,0.00634,-0.00011
InternLM-XComposer2,MCu,Calibrating Knowns and Unknowns,no,0.00575,+0.00002
InternLM-XComposer2,VO,Volume,no,0.00496,-0.00069
InternLM-XComposer2,CL,"Conceptualisation, Learning, and Abstraction",no,0.00413,-0.00044
Mini-Gemini-HD-LLaMA3-8B,MCu,Calibrating Knowns and Unknowns,no,0.03513,+0.00012
Mini-Gemini-HD-LLaMA3-8B,VL,Visual Localization and Grounding,yes,0.03094,+0.00104
Mini-Gemini-HD-LLaMA3-8B,MA,Multi-Element Visual Aggregation,yes,0.02643,-0.00050
Mini-Gemini-HD-LLaMA3-8B,AS,Attention and Scan,no,0.01841,+0.00071
Mini-Gemini-HD-LLaMA3-8B,GS,Gestalt and Shape Judgment,yes,0.01568,+0.00016
Mini-Gemini-HD-LLaMA3-8B,MCr,Identifying Relevant Information,no,0.01108,-0.00078
Mini-Gemini-HD-LLaMA3-8B,VO,Volume,no,0.01069,-0.00057
Mini-Gemini-HD-LLaMA3-8B,KNf,Formal Sciences,no,0.01006,-0.00028
Mini-Gemini-HD-LLaMA3-8B,QLq,Quantitative Reasoning,no,0.00876,+0.00040
Mini-Gemini-HD-LLaMA3-8B,AT,Atypicality,no,0.00691,+0.00027
Mini-Gemini-HD-LLaMA3-8B,QLl,Logical Reasoning,no,0.00560,-0.00066
Mini-Gemini-HD-LLaMA3-8B,CL,"Conceptualisation, Learning, and Abstraction",no,0.00434,-0.00033
MiniCPM-V2,GS,Gestalt and Shape Judgment,yes,0.02002,+0.00009
MiniCPM-V2,MA,Multi-Element Visual Aggregation,yes,0.01716,+0.00004
MiniCPM-V2,MCu,Calibrating Knowns and Unknowns,no,0.01318,-0.00063
MiniCPM-V2,MCr,Identifying Relevant Information,no,0.01199,-0.00004
MiniCPM-V2,VL,Visual Localization and Grounding,yes,0.01123,-0.00027
MiniCPM-V2,AS,Attention and Scan,no,0.00941,+0.00094
MiniCPM-V2,KNf,Formal Sciences,no,0.00935,-0.00046
MiniCPM-V2,VO,Volume,no,0.00870,+0.00004
MiniCPM-V2,QLl,Logical Reasoning,no,0.00862,-0.00077
MiniCPM-V2,AT,Atypicality,no,0.00721,-0.00035
MiniCPM-V2,QLq,Quantitative Reasoning,no,0.00656,+0.00007
MiniCPM-V2,CL,"Conceptualisation, Learning, and Abstraction",no,0.00615,-0.00017
DeepSeek-VL,MA,Multi-Element Visual Aggregation,yes,0.02046,-0.00008
DeepSeek-VL,CL,"Conceptualisation, Learning, and Abstraction",no,0.01670,+0.00011
DeepSeek-VL,MCr,Identifying Relevant Information,no,0.01571,+0.00013
DeepSeek-VL,KNf,Formal Sciences,no,0.01541,-0.00038
DeepSeek-VL,MCu,Calibrating Knowns and Unknowns,no,0.01124,-0.00017
DeepSeek-VL,GS,Gestalt and Shape Judgment,yes,0.01000,-0.00014
DeepSeek-VL,AS,Attention and Scan,no,0.00903,+0.00014
DeepSeek-VL,VL,Visual Localization and Grounding,yes,0.00789,-0.00019
DeepSeek-VL,QLq,Quantitative Reasoning,no,0.00630,+0.00035
DeepSeek-VL,QLl,Logical Reasoning,no,0.00571,-0.00061
DeepSeek-VL,VO,Volume,no,0.00552,-0.00049
DeepSeek-VL,AT,Atypicality,no,0.00536,-0.00009
IDEFICS-2-Chatty,MA,Multi-Element Visual Aggregation,yes,0.02035,+0.00019
IDEFICS-2-Chatty,GS,Gestalt and Shape Judgment,yes,0.02020,+0.00003
IDEFICS-2-Chatty,MCr,Identifying Relevant Information,no,0.01332,+0.00057
IDEFICS-2-Chatty,VL,Visual Localization and Grounding,yes,0.01034,-0.00004
IDEFICS-2-Chatty,QLl,Logical Reasoning,no,0.01021,-0.00097
IDEFICS-2-Chatty,AT,Atypicality,no,0.01017,+0.00023
IDEFICS-2-Chatty,VO,Volume,no,0.00902,-0.00032
IDEFICS-2-Chatty,KNf,Formal Sciences,no,0.00835,-0.00012
IDEFICS-2-Chatty,QLq,Quantitative Reasoning,no,0.00749,+0.00041
IDEFICS-2-Chatty,MCu,Calibrating Knowns and Unknowns,no,0.00696,-0.00065
IDEFICS-2-Chatty,AS,Attention and Scan,no,0.00665,-0.00048
IDEFICS-2-Chatty,CL,"Conceptualisation, Learning, and Abstraction",no,0.00466,+0.00010
SPHINX-V2-13B,MA,Multi-Element Visual Aggregation,yes,0.02124,+0.00056
SPHINX-V2-13B,KNf,Formal Sciences,no,0.01997,+0.00009
SPHINX-V2-13B,MCr,Identifying Relevant Information,no,0.01557,+0.00015
SPHINX-V2-13B,VO,Volume,no,0.01470,-0.00081
SPHINX-V2-13B,AS,Attention and Scan,no,0.01301,+0.00029
SPHINX-V2-13B,GS,Gestalt and Shape Judgment,yes,0.01289,-0.00021
SPHINX-V2-13B,QLq,Quantitative Reasoning,no,0.01076,-0.00051
SPHINX-V2-13B,MCu,Calibrating Knowns and Unknowns,no,0.00955,-0.00017
SPHINX-V2-13B,VL,Visual Localization and Grounding,yes,0.00945,-0.00041
SPHINX-V2-13B,AT,Atypicality,no,0.00844,-0.00027
SPHINX-V2-13B,QLl,Logical Reasoning,no,0.00609,-0.00034
SPHINX-V2-13B,CL,"Conceptualisation, Learning, and Abstraction",no,0.00373,-0.00018
Qwen-VL-Plus,GS,Gestalt and Shape Judgment,yes,0.03664,+0.00058
Qwen-VL-Plus,MA,Multi-Element Visual Aggregation,yes,0.03168,+0.00112
Qwen-VL-Plus,MCu,Calibrating Knowns and Unknowns,no,0.01148,+0.00047
Qwen-VL-Plus,CL,"Conceptualisation, Learning, and Abstraction",no,0.01068,+0.00065
Qwen-VL-Plus,AT,Atypicality,no,0.01033,-0.00022
Qwen-VL-Plus,KNf,Formal Sciences,no,0.01010,-0.00046
Qwen-VL-Plus,AS,Attention and Scan,no,0.00919,+0.00013
Qwen-VL-Plus,VL,Visual Localization and Grounding,yes,0.00755,-0.00001
Qwen-VL-Plus,QLq,Quantitative Reasoning,no,0.00673,+0.00032
Qwen-VL-Plus,QLl,Logical Reasoning,no,0.00574,-0.00095
Qwen-VL-Plus,MCr,Identifying Relevant Information,no,0.00556,-0.00065
Qwen-VL-Plus,VO,Volume,no,0.00359,-0.00037
LLaVA-1-6-Mistral-7B,GS,Gestalt and Shape Judgment,yes,0.02349,+0.00031
LLaVA-1-6-Mistral-7B,AS,Attention and Scan,no,0.01998,+0.00016
LLaVA-1-6-Mistral-7B,MA,Multi-Element Visual Aggregation,yes,0.01439,+0.00043
LLaVA-1-6-Mistral-7B,KNf,Formal Sciences,no,0.01197,-0.00038
LLaVA-1-6-Mistral-7B,VL,Visual Localization and Grounding,yes,0.00811,-0.00031
LLaVA-1-6-Mistral-7B,MCu,Calibrating Knowns and Unknowns,no,0.00808,-0.00076
LLaVA-1-6-Mistral-7B,MCr,Identifying Relevant Information,no,0.00794,-0.00016
LLaVA-1-6-Mistral-7B,QLq,Quantitative Reasoning,no,0.00653,-0.00023
LLaVA-1-6-Mistral-7B,CL,"Conceptualisation, Learning, and Abstraction",no,0.00646,+0.00028
LLaVA-1-6-Mistral-7B,VO,Volume,no,0.00620,-0.00041
LLaVA-1-6-Mistral-7B,AT,Atypicality,no,0.00539,+0.00008
LLaVA-1-6-Mistral-7B,QLl,Logical Reasoning,no,0.00427,-0.00057
ChartGemma,MA,Multi-Element Visual Aggregation,yes,0.01828,-0.00018
ChartGemma,VL,Visual Localization and Grounding,yes,0.01584,-0.00051
ChartGemma,GS,Gestalt and Shape Judgment,yes,0.01508,-0.00041
ChartGemma,MCu,Calibrating Knowns and Unknowns,no,0.01028,+0.00012
ChartGemma,CL,"Conceptualisation, Learning, and Abstraction",no,0.00845,-0.00013
ChartGemma,KNf,Formal Sciences,no,0.00786,-0.00050
ChartGemma,AT,Atypicality,no,0.00765,+0.00008
ChartGemma,MCr,Identifying Relevant Information,no,0.00687,-0.00049
ChartGemma,AS,Attention and Scan,no,0.00658,+0.00057
ChartGemma,QLq,Quantitative Reasoning,no,0.00575,-0.00006
ChartGemma,VO,Volume,no,0.00545,-0.00018
ChartGemma,QLl,Logical Reasoning,no,0.00525,-0.00071
GPT-4o-Random,GS,Gestalt and Shape Judgment,yes,0.02984,-0.00011
GPT-4o-Random,MA,Multi-Element Visual Aggregation,yes,0.01402,+0.00063
GPT-4o-Random,MCr,Identifying Relevant Information,no,0.01013,-0.00008
GPT-4o-Random,VL,Visual Localization and Grounding,yes,0.00947,-0.00015
GPT-4o-Random,KNf,Formal Sciences,no,0.00898,-0.00016
GPT-4o-Random,QLq,Quantitative Reasoning,no,0.00849,-0.00024
GPT-4o-Random,AS,Attention and Scan,no,0.00545,+0.00001
GPT-4o-Random,QLl,Logical Reasoning,no,0.00511,-0.00060
GPT-4o-Random,VO,Volume,no,0.00477,-0.00008
GPT-4o-Random,MCu,Calibrating Knowns and Unknowns,no,0.00461,-0.00010
GPT-4o-Random,AT,Atypicality,no,0.00444,-0.00032
GPT-4o-Random,CL,"Conceptualisation, Learning, and Abstraction",no,0.00401,+0.00012
