candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=16x16_act=tanh_alpha=0.01,torch_mlp,"(16, 16)",2,16,tanh,0.01,torch_lbfgs,215,111,3,2115,2115.0,47,torch mlp 16x16 tanh a=0.01,0.987676,0.414634,0.573042,0.002817,0.302439,0.299622,0.199131
mlp_layers=16x16_act=tanh_alpha=0.1,torch_mlp,"(16, 16)",2,16,tanh,0.1,torch_lbfgs,215,111,3,2115,2115.0,48,torch mlp 16x16 tanh a=0.1,0.989437,0.520325,0.469112,0.002113,0.258537,0.256424,0.199451
mlp_layers=32x16_act=relu_alpha=0.0001,torch_mlp,"(32, 16)",2,32,relu,0.0001,torch_lbfgs,215,111,3,4163,4163.0,49,torch mlp 32x16 relu a=0.0001,0.996479,0.430894,0.565585,0.000704,0.291057,0.290353,0.208648
mlp_layers=32x16_act=relu_alpha=0.001,torch_mlp,"(32, 16)",2,32,relu,0.001,torch_lbfgs,215,111,3,4163,4163.0,50,torch mlp 32x16 relu a=0.001,0.998239,0.439024,0.559215,0.000352,0.284553,0.284201,0.207612
mlp_layers=32x16_act=relu_alpha=0.01,torch_mlp,"(32, 16)",2,32,relu,0.01,torch_lbfgs,215,111,3,4163,4163.0,51,torch mlp 32x16 relu a=0.01,0.994718,0.390244,0.604474,0.001408,0.317073,0.315665,0.207508
mlp_layers=32x16_act=relu_alpha=0.1,torch_mlp,"(32, 16)",2,32,relu,0.1,torch_lbfgs,215,111,3,4163,4163.0,52,torch mlp 32x16 relu a=0.1,1.0,0.439024,0.560976,0.0,0.308943,0.308943,0.206952
mlp_layers=32x16_act=tanh_alpha=0.0001,torch_mlp,"(32, 16)",2,32,tanh,0.0001,torch_lbfgs,215,111,3,4163,4163.0,53,torch mlp 32x16 tanh a=0.0001,1.0,0.520325,0.479675,0.0,0.235772,0.235772,0.192831
mlp_layers=32x16_act=tanh_alpha=0.001,torch_mlp,"(32, 16)",2,32,tanh,0.001,torch_lbfgs,215,111,3,4163,4163.0,54,torch mlp 32x16 tanh a=0.001,1.0,0.520325,0.479675,0.0,0.237398,0.237398,0.217661
mlp_layers=32x16_act=tanh_alpha=0.01,torch_mlp,"(32, 16)",2,32,tanh,0.01,torch_lbfgs,215,111,3,4163,4163.0,55,torch mlp 32x16 tanh a=0.01,1.0,0.528455,0.471545,0.0,0.227642,0.227642,0.223396
mlp_layers=32x16_act=tanh_alpha=0.1,torch_mlp,"(32, 16)",2,32,tanh,0.1,torch_lbfgs,215,111,3,4163,4163.0,56,torch mlp 32x16 tanh a=0.1,1.0,0.528455,0.471545,0.0,0.239024,0.239024,0.223115
