model,dim_i,dim_j,tau_correct,tau_incorrect,delta,abs_delta
Claude-3-Sonnet,VL,GS,-0.0420,0.0011,-0.0431,0.0431
Claude-3-Sonnet,MCu,AT,0.3464,0.3890,-0.0427,0.0427
Claude-3-Sonnet,MCr,GS,0.1181,0.0783,+0.0398,0.0398
Claude-3-Sonnet,AS,AT,0.3131,0.2733,+0.0397,0.0397
Claude-3-Sonnet,MA,CL,0.1096,0.0709,+0.0387,0.0387
Claude-3-Sonnet,AS,MA,0.3709,0.3341,+0.0368,0.0368
Claude-3-Sonnet,MCr,CL,0.2073,0.2416,-0.0343,0.0343
Claude-3-Sonnet,MCu,QLq,0.2289,0.2625,-0.0336,0.0336
Claude-3-Sonnet,QLl,KNf,0.1587,0.1268,+0.0319,0.0319
Claude-3-Sonnet,MCu,CL,0.2342,0.2043,+0.0298,0.0298
Claude-3-Sonnet,GS,QLl,0.0108,0.0406,-0.0298,0.0298
Claude-3-Sonnet,MA,AT,0.1565,0.1273,+0.0292,0.0292
Claude-3-Sonnet,AT,KNf,0.0972,0.1255,-0.0283,0.0283
Claude-3-Sonnet,AS,QLl,0.2426,0.2149,+0.0277,0.0277
Claude-3-Sonnet,MCr,MA,0.2649,0.2907,-0.0258,0.0258
Claude-3-Sonnet,VL,VO,0.2720,0.2970,-0.0250,0.0250
Claude-3-Sonnet,AS,KNf,0.0191,-0.0057,+0.0248,0.0248
Claude-3-Sonnet,AS,QLq,0.0939,0.1170,-0.0231,0.0231
Claude-3-Sonnet,MA,QLl,0.3043,0.3260,-0.0216,0.0216
Claude-3-Sonnet,VL,QLl,0.2686,0.2520,+0.0167,0.0167
Claude-3-Sonnet,AS,VO,0.2912,0.3075,-0.0163,0.0163
Claude-3-Sonnet,VL,MCr,0.3362,0.3513,-0.0151,0.0151
Claude-3-Sonnet,MCr,VO,0.3461,0.3605,-0.0144,0.0144
Claude-3-Sonnet,GS,CL,0.3582,0.3711,-0.0130,0.0130
Claude-3-Sonnet,MA,VO,0.3063,0.3178,-0.0115,0.0115
Claude-3-Sonnet,AS,GS,0.1336,0.1395,-0.0059,0.0059
Claude-3-Sonnet,VL,AS,0.3881,0.3937,-0.0056,0.0056
Claude-3-Sonnet,MCu,KNf,0.1946,0.2002,-0.0056,0.0056
Claude-3-Sonnet,VO,KNf,0.0977,0.0938,+0.0038,0.0038
Claude-3-Sonnet,VL,KNf,-0.0600,-0.0572,-0.0027,0.0027
Claude-3-Sonnet,MCu,GS,0.1464,0.1445,+0.0019,0.0019
Claude-3-Sonnet,MCr,QLq,0.2233,0.2242,-0.0009,0.0009
Claude-3-Sonnet,AT,QLq,0.2138,0.2132,+0.0006,0.0006
DeepSeek-VL,VO,CL,0.0512,0.2660,-0.2149,0.2149
DeepSeek-VL,MCu,KNf,0.3466,0.1625,+0.1841,0.1841
DeepSeek-VL,MA,QLq,0.3816,0.2160,+0.1656,0.1656
DeepSeek-VL,VL,VO,0.1640,0.3174,-0.1533,0.1533
DeepSeek-VL,AT,QLq,0.3170,0.1849,+0.1322,0.1322
DeepSeek-VL,AS,AT,0.3775,0.2675,+0.1100,0.1100
DeepSeek-VL,AS,MCr,0.5402,0.4311,+0.1092,0.1092
DeepSeek-VL,QLl,KNf,0.0461,0.1545,-0.1084,0.1084
DeepSeek-VL,QLq,CL,0.0239,0.1288,-0.1049,0.1049
DeepSeek-VL,GS,CL,0.4446,0.3417,+0.1028,0.1028
DeepSeek-VL,VL,AT,0.2168,0.1175,+0.0993,0.0993
DeepSeek-VL,MCr,AT,0.4528,0.3539,+0.0990,0.0990
DeepSeek-VL,VL,GS,-0.1004,-0.0058,-0.0946,0.0946
DeepSeek-VL,MCu,VO,0.3170,0.2262,+0.0908,0.0908
DeepSeek-VL,MA,AT,0.2091,0.1209,+0.0882,0.0882
DeepSeek-VL,MCr,MCu,0.4481,0.3627,+0.0854,0.0854
DeepSeek-VL,VO,GS,-0.0377,0.0433,-0.0810,0.0810
DeepSeek-VL,VO,QLq,0.2581,0.3391,-0.0810,0.0810
DeepSeek-VL,MCr,MA,0.3455,0.2679,+0.0776,0.0776
DeepSeek-VL,AS,GS,0.0628,0.1397,-0.0769,0.0769
DeepSeek-VL,AS,QLq,0.1587,0.0843,+0.0743,0.0743
DeepSeek-VL,VL,AS,0.4548,0.3845,+0.0703,0.0703
DeepSeek-VL,VL,MCu,0.2438,0.1736,+0.0702,0.0702
DeepSeek-VL,MCu,MA,0.2584,0.1888,+0.0696,0.0696
DeepSeek-VL,QLl,CL,0.2154,0.2835,-0.0681,0.0681
DeepSeek-VL,AS,QLl,0.2838,0.2158,+0.0680,0.0680
DeepSeek-VL,AT,GS,0.1529,0.2170,-0.0641,0.0641
DeepSeek-VL,MA,KNf,0.1495,0.0856,+0.0639,0.0639
DeepSeek-VL,VL,MCr,0.4040,0.3422,+0.0618,0.0618
DeepSeek-VL,VO,QLl,0.3147,0.3760,-0.0612,0.0612
DeepSeek-VL,MCu,GS,0.1866,0.1264,+0.0603,0.0603
DeepSeek-VL,QLl,QLq,0.3863,0.4406,-0.0544,0.0544
DeepSeek-VL,VL,QLq,0.1397,0.0909,+0.0488,0.0488
DeepSeek-VL,VO,KNf,0.0556,0.1043,-0.0487,0.0487
DeepSeek-VL,AT,CL,0.2880,0.2455,+0.0425,0.0425
DeepSeek-VL,MA,VO,0.2776,0.3184,-0.0408,0.0408
DeepSeek-VL,GS,QLl,-0.0056,0.0335,-0.0391,0.0391
DeepSeek-VL,KNf,QLq,0.2705,0.3070,-0.0364,0.0364
DeepSeek-VL,MCr,KNf,0.0615,0.0946,-0.0331,0.0331
DeepSeek-VL,MCr,GS,0.1048,0.0735,+0.0313,0.0313
DeepSeek-VL,VL,QLl,0.2353,0.2664,-0.0310,0.0310
DeepSeek-VL,MA,CL,0.1119,0.0817,+0.0302,0.0302
DeepSeek-VL,MCr,CL,0.2119,0.2408,-0.0290,0.0290
DeepSeek-VL,AS,CL,0.1823,0.1571,+0.0252,0.0252
DeepSeek-VL,VL,CL,0.1147,0.1388,-0.0241,0.0241
DeepSeek-VL,AS,MA,0.3256,0.3486,-0.0230,0.0230
DeepSeek-VL,AS,MCu,0.3373,0.3155,+0.0217,0.0217
DeepSeek-VL,MCu,QLl,0.2384,0.2599,-0.0215,0.0215
DeepSeek-VL,AT,KNf,0.1003,0.1196,-0.0194,0.0194
DeepSeek-VL,VL,MA,0.3793,0.3602,+0.0191,0.0191
DeepSeek-VL,MCu,QLq,0.2611,0.2422,+0.0189,0.0189
DeepSeek-VL,KNf,CL,0.1157,0.1337,-0.0180,0.0180
DeepSeek-VL,AS,VO,0.3176,0.3013,+0.0163,0.0163
DeepSeek-VL,AS,KNf,0.0135,-0.0025,+0.0160,0.0160
DeepSeek-VL,MCr,VO,0.3694,0.3542,+0.0153,0.0153
DeepSeek-VL,MA,GS,-0.0032,-0.0179,+0.0146,0.0146
DeepSeek-VL,MCu,CL,0.2055,0.2181,-0.0126,0.0126
DeepSeek-VL,MA,QLl,0.3085,0.3203,-0.0118,0.0118
DeepSeek-VL,GS,KNf,0.0376,0.0487,-0.0111,0.0111
DeepSeek-VL,MCu,AT,0.3823,0.3731,+0.0092,0.0092
DeepSeek-VL,VL,KNf,-0.0519,-0.0609,+0.0090,0.0090
DeepSeek-VL,GS,QLq,-0.1127,-0.1046,-0.0081,0.0081
DeepSeek-VL,VO,AT,0.2604,0.2665,-0.0061,0.0061
DeepSeek-VL,MCr,QLq,0.2164,0.2131,+0.0033,0.0033
DeepSeek-VL,AT,QLl,0.2522,0.2503,+0.0018,0.0018
DeepSeek-VL,MCr,QLl,0.3891,0.3878,+0.0013,0.0013
GPT-4V-Turbo,QLq,CL,0.0069,0.1861,-0.1792,0.1792
GPT-4V-Turbo,GS,QLq,-0.2072,-0.0318,-0.1753,0.1753
GPT-4V-Turbo,QLl,CL,0.1660,0.3263,-0.1603,0.1603
GPT-4V-Turbo,VO,CL,0.1264,0.2865,-0.1601,0.1601
GPT-4V-Turbo,VL,CL,0.0455,0.1928,-0.1473,0.1473
GPT-4V-Turbo,MCu,KNf,0.1130,0.2470,-0.1341,0.1341
GPT-4V-Turbo,MCr,QLl,0.3035,0.4334,-0.1299,0.1299
GPT-4V-Turbo,AT,QLl,0.1694,0.2936,-0.1242,0.1242
GPT-4V-Turbo,MCr,CL,0.1711,0.2842,-0.1130,0.1130
GPT-4V-Turbo,AT,KNf,0.0474,0.1582,-0.1108,0.1108
GPT-4V-Turbo,MA,QLq,0.3116,0.2067,+0.1049,0.1049
GPT-4V-Turbo,GS,QLl,-0.0371,0.0606,-0.0976,0.0976
GPT-4V-Turbo,VO,QLl,0.3006,0.3955,-0.0949,0.0949
GPT-4V-Turbo,AS,VO,0.2418,0.3334,-0.0916,0.0916
GPT-4V-Turbo,QLl,QLq,0.3788,0.4694,-0.0906,0.0906
GPT-4V-Turbo,MA,AT,0.0776,0.1680,-0.0904,0.0904
GPT-4V-Turbo,MCu,MA,0.1442,0.2331,-0.0889,0.0889
GPT-4V-Turbo,VL,QLl,0.2012,0.2892,-0.0880,0.0880
GPT-4V-Turbo,KNf,CL,0.0820,0.1675,-0.0855,0.0855
GPT-4V-Turbo,MCr,AT,0.3136,0.3954,-0.0818,0.0818
GPT-4V-Turbo,AS,GS,0.1797,0.1008,+0.0789,0.0789
GPT-4V-Turbo,VO,GS,-0.0170,0.0616,-0.0785,0.0785
GPT-4V-Turbo,VO,AT,0.2136,0.2879,-0.0743,0.0743
GPT-4V-Turbo,VO,KNf,0.0468,0.1183,-0.0715,0.0715
GPT-4V-Turbo,MCr,GS,0.0468,0.1181,-0.0713,0.0713
GPT-4V-Turbo,GS,CL,0.4036,0.3331,+0.0704,0.0704
GPT-4V-Turbo,MCu,QLq,0.2102,0.2799,-0.0698,0.0698
GPT-4V-Turbo,VL,MA,0.4075,0.3393,+0.0682,0.0682
GPT-4V-Turbo,GS,KNf,0.0083,0.0698,-0.0614,0.0614
GPT-4V-Turbo,QLl,KNf,0.0963,0.1559,-0.0596,0.0596
GPT-4V-Turbo,AS,KNf,-0.0365,0.0207,-0.0571,0.0571
GPT-4V-Turbo,MCr,VO,0.3136,0.3696,-0.0560,0.0560
GPT-4V-Turbo,AS,MCr,0.4815,0.4266,+0.0548,0.0548
GPT-4V-Turbo,MA,VO,0.2767,0.3313,-0.0546,0.0546
GPT-4V-Turbo,AS,QLl,0.1966,0.2504,-0.0538,0.0538
GPT-4V-Turbo,MCr,QLq,0.1915,0.2440,-0.0525,0.0525
GPT-4V-Turbo,VL,AS,0.4287,0.3766,+0.0521,0.0521
GPT-4V-Turbo,VL,MCu,0.1501,0.1992,-0.0491,0.0491
GPT-4V-Turbo,MCu,AT,0.3420,0.3901,-0.0482,0.0482
GPT-4V-Turbo,MCu,VO,0.2065,0.2532,-0.0467,0.0467
GPT-4V-Turbo,AS,QLq,0.0806,0.1255,-0.0449,0.0449
GPT-4V-Turbo,MA,CL,0.0571,0.1013,-0.0442,0.0442
GPT-4V-Turbo,MCr,MA,0.2546,0.2957,-0.0411,0.0411
GPT-4V-Turbo,MCu,CL,0.2445,0.2075,+0.0370,0.0370
GPT-4V-Turbo,VL,MCr,0.3252,0.3616,-0.0363,0.0363
GPT-4V-Turbo,AS,MCu,0.2916,0.3276,-0.0360,0.0360
GPT-4V-Turbo,VO,QLq,0.3535,0.3187,+0.0348,0.0348
GPT-4V-Turbo,AS,MA,0.3240,0.3584,-0.0344,0.0344
GPT-4V-Turbo,MA,QLl,0.2987,0.3316,-0.0330,0.0330
GPT-4V-Turbo,AT,GS,0.2310,0.1991,+0.0319,0.0319
GPT-4V-Turbo,AS,CL,0.1844,0.1543,+0.0300,0.0300
GPT-4V-Turbo,AT,CL,0.2413,0.2681,-0.0268,0.0268
GPT-4V-Turbo,AT,QLq,0.1996,0.2256,-0.0260,0.0260
GPT-4V-Turbo,VL,KNf,-0.0791,-0.0533,-0.0258,0.0258
GPT-4V-Turbo,MCr,MCu,0.3841,0.3592,+0.0249,0.0249
GPT-4V-Turbo,MA,GS,-0.0275,-0.0043,-0.0232,0.0232
GPT-4V-Turbo,VL,GS,-0.0307,-0.0078,-0.0229,0.0229
GPT-4V-Turbo,VL,QLq,0.1175,0.0991,+0.0184,0.0184
GPT-4V-Turbo,AS,AT,0.2950,0.2780,+0.0171,0.0171
GPT-4V-Turbo,VL,VO,0.2965,0.2858,+0.0108,0.0108
GPT-4V-Turbo,MA,KNf,0.0988,0.0900,+0.0089,0.0089
GPT-4V-Turbo,MCu,QLl,0.2546,0.2609,-0.0063,0.0063
GPT-4V-Turbo,MCu,GS,0.1508,0.1450,+0.0058,0.0058
GPT-4V-Turbo,VL,AT,0.1364,0.1317,+0.0047,0.0047
GPT-4V-Turbo,MCr,KNf,0.0854,0.0814,+0.0040,0.0040
GPT-4V-Turbo,KNf,QLq,0.2947,0.2976,-0.0029,0.0029
GPT-4o,GS,QLq,-0.1756,-0.0308,-0.1448,0.1448
GPT-4o,MCu,CL,0.2981,0.1555,+0.1427,0.1427
GPT-4o,VO,QLl,0.2865,0.4207,-0.1342,0.1342
GPT-4o,VL,GS,0.0524,-0.0813,+0.1337,0.1337
GPT-4o,MCr,MA,0.3491,0.2154,+0.1336,0.1336
GPT-4o,VL,QLq,0.0495,0.1692,-0.1197,0.1197
GPT-4o,VO,KNf,0.0242,0.1417,-0.1175,0.1175
GPT-4o,VO,CL,0.1666,0.2832,-0.1166,0.1166
GPT-4o,MCr,MCu,0.4060,0.2965,+0.1096,0.1096
GPT-4o,AS,GS,0.1797,0.0819,+0.0978,0.0978
GPT-4o,VL,QLl,0.2066,0.3011,-0.0945,0.0945
GPT-4o,AS,MCr,0.4807,0.3906,+0.0901,0.0901
GPT-4o,VO,QLq,0.2857,0.3736,-0.0879,0.0879
GPT-4o,AT,KNf,0.1552,0.0678,+0.0874,0.0874
GPT-4o,GS,KNf,0.0063,0.0921,-0.0858,0.0858
GPT-4o,MA,QLq,0.2969,0.2114,+0.0855,0.0855
GPT-4o,GS,CL,0.4053,0.3225,+0.0828,0.0828
GPT-4o,MA,AT,0.1653,0.0862,+0.0791,0.0791
GPT-4o,MCr,CL,0.1982,0.2771,-0.0788,0.0788
GPT-4o,AT,GS,0.1781,0.2515,-0.0734,0.0734
GPT-4o,MCr,AT,0.3929,0.3212,+0.0718,0.0718
GPT-4o,QLl,CL,0.2332,0.3041,-0.0709,0.0709
GPT-4o,AS,KNf,-0.0382,0.0270,-0.0652,0.0652
GPT-4o,VL,VO,0.2423,0.3072,-0.0649,0.0649
GPT-4o,VL,AT,0.1554,0.0929,+0.0626,0.0626
GPT-4o,QLq,CL,0.0787,0.1412,-0.0625,0.0625
GPT-4o,AS,QLl,0.1956,0.2578,-0.0621,0.0621
GPT-4o,VL,CL,0.1059,0.1676,-0.0616,0.0616
GPT-4o,QLl,QLq,0.4028,0.4614,-0.0586,0.0586
GPT-4o,MA,QLl,0.3484,0.2922,+0.0562,0.0562
GPT-4o,MCu,MA,0.1615,0.2165,-0.0550,0.0550
GPT-4o,AT,QLq,0.2438,0.1895,+0.0544,0.0544
GPT-4o,MCu,VO,0.1854,0.2374,-0.0520,0.0520
GPT-4o,VL,MA,0.3874,0.3373,+0.0500,0.0500
GPT-4o,AS,VO,0.2636,0.3126,-0.0490,0.0490
GPT-4o,MCr,GS,0.0594,0.1056,-0.0462,0.0462
GPT-4o,AS,AT,0.2916,0.2459,+0.0456,0.0456
GPT-4o,VL,AS,0.4082,0.3686,+0.0396,0.0396
GPT-4o,MCu,QLl,0.2791,0.2405,+0.0386,0.0386
GPT-4o,MA,VO,0.2858,0.3228,-0.0370,0.0370
GPT-4o,MCr,QLl,0.3719,0.4086,-0.0368,0.0368
GPT-4o,MCr,VO,0.3246,0.3603,-0.0357,0.0357
GPT-4o,GS,QLl,0.0100,0.0442,-0.0342,0.0342
GPT-4o,MCu,QLq,0.2473,0.2795,-0.0322,0.0322
GPT-4o,MCu,GS,0.1666,0.1361,+0.0305,0.0305
GPT-4o,QLl,KNf,0.1490,0.1222,+0.0268,0.0268
GPT-4o,KNf,CL,0.1464,0.1203,+0.0261,0.0261
GPT-4o,VL,MCu,0.1769,0.1516,+0.0253,0.0253
GPT-4o,MA,GS,-0.0034,-0.0282,+0.0248,0.0248
GPT-4o,MCu,KNf,0.2109,0.1862,+0.0247,0.0247
GPT-4o,VL,KNf,-0.0783,-0.0538,-0.0244,0.0244
GPT-4o,MCu,AT,0.3663,0.3423,+0.0240,0.0240
GPT-4o,AS,MA,0.3538,0.3303,+0.0235,0.0235
GPT-4o,VO,AT,0.2404,0.2617,-0.0212,0.0212
GPT-4o,AT,CL,0.2692,0.2503,+0.0190,0.0190
GPT-4o,KNf,QLq,0.2891,0.3054,-0.0164,0.0164
GPT-4o,MA,KNf,0.0829,0.0980,-0.0151,0.0151
GPT-4o,AS,QLq,0.1022,0.1166,-0.0144,0.0144
GPT-4o,VL,MCr,0.3511,0.3383,+0.0127,0.0127
GPT-4o,VO,GS,0.0284,0.0409,-0.0125,0.0125
GPT-4o,MCr,KNf,0.0746,0.0857,-0.0111,0.0111
GPT-4o,MCr,QLq,0.2293,0.2201,+0.0091,0.0091
GPT-4o,MA,CL,0.0785,0.0875,-0.0090,0.0090
GPT-4o,AS,MCu,0.2940,0.2867,+0.0073,0.0073
GPT-4o,AS,CL,0.1654,0.1694,-0.0039,0.0039
GPT-4o,AT,QLl,0.2486,0.2507,-0.0021,0.0021
GPT-4o-Random,AS,QLl,-0.0329,0.2590,-0.2919,0.2919
GPT-4o-Random,QLq,CL,0.3262,0.0871,+0.2392,0.2392
GPT-4o-Random,VL,MA,0.5678,0.3424,+0.2254,0.2254
GPT-4o-Random,QLl,CL,0.0770,0.2889,-0.2119,0.2119
GPT-4o-Random,GS,QLq,0.0858,-0.1218,+0.2076,0.2076
GPT-4o-Random,AS,CL,-0.0188,0.1814,-0.2003,0.2003
GPT-4o-Random,AT,QLq,0.3926,0.1944,+0.1983,0.1983
GPT-4o-Random,MCu,KNf,0.0263,0.2158,-0.1895,0.1895
GPT-4o-Random,AS,VO,0.1590,0.3196,-0.1606,0.1606
GPT-4o-Random,AS,MCr,0.3120,0.4696,-0.1575,0.1575
GPT-4o-Random,VO,CL,0.0945,0.2386,-0.1441,0.1441
GPT-4o-Random,MA,QLl,0.1930,0.3353,-0.1423,0.1423
GPT-4o-Random,VL,GS,-0.1394,-0.0026,-0.1368,0.1368
GPT-4o-Random,GS,QLl,-0.0961,0.0401,-0.1363,0.1363
GPT-4o-Random,MA,QLq,0.1385,0.2615,-0.1230,0.1230
GPT-4o-Random,AS,QLq,-0.0076,0.1142,-0.1218,0.1218
GPT-4o-Random,MCr,MA,0.1793,0.2989,-0.1196,0.1196
GPT-4o-Random,MCr,QLl,0.2825,0.3999,-0.1174,0.1174
GPT-4o-Random,QLl,QLq,0.3244,0.4415,-0.1170,0.1170
GPT-4o-Random,VL,QLl,0.1600,0.2735,-0.1134,0.1134
GPT-4o-Random,MCr,VO,0.2546,0.3654,-0.1108,0.1108
GPT-4o-Random,MA,GS,0.0818,-0.0272,+0.1090,0.1090
GPT-4o-Random,KNf,CL,0.2289,0.1222,+0.1068,0.1068
GPT-4o-Random,AS,AT,0.3836,0.2799,+0.1037,0.1037
GPT-4o-Random,MA,VO,0.2234,0.3242,-0.1007,0.1007
GPT-4o-Random,MCr,GS,-0.0015,0.0955,-0.0970,0.0970
GPT-4o-Random,GS,CL,0.2775,0.3731,-0.0956,0.0956
GPT-4o-Random,VL,MCu,0.2701,0.1818,+0.0883,0.0883
GPT-4o-Random,KNf,QLq,0.3796,0.2927,+0.0869,0.0869
GPT-4o-Random,AS,GS,0.1952,0.1152,+0.0800,0.0800
GPT-4o-Random,MA,KNf,0.0216,0.1015,-0.0799,0.0799
GPT-4o-Random,AS,MCu,0.2543,0.3310,-0.0767,0.0767
GPT-4o-Random,GS,KNf,-0.0207,0.0503,-0.0710,0.0710
GPT-4o-Random,VO,AT,0.2035,0.2739,-0.0704,0.0704
GPT-4o-Random,VL,VO,0.3549,0.2854,+0.0695,0.0695
GPT-4o-Random,QLl,KNf,0.1985,0.1298,+0.0687,0.0687
GPT-4o-Random,MCr,MCu,0.4424,0.3753,+0.0671,0.0671
GPT-4o-Random,VL,CL,0.0754,0.1400,-0.0646,0.0646
GPT-4o-Random,VO,QLl,0.3120,0.3730,-0.0610,0.0610
GPT-4o-Random,MA,CL,0.1346,0.0760,+0.0586,0.0586
GPT-4o-Random,AT,KNf,0.1648,0.1080,+0.0567,0.0567
GPT-4o-Random,VO,KNf,0.0476,0.0997,-0.0521,0.0521
GPT-4o-Random,MA,AT,0.1850,0.1343,+0.0507,0.0507
GPT-4o-Random,AT,QLl,0.2959,0.2466,+0.0493,0.0493
GPT-4o-Random,MCu,QLq,0.2050,0.2529,-0.0479,0.0479
GPT-4o-Random,MCu,MA,0.2486,0.2010,+0.0476,0.0476
GPT-4o-Random,MCu,GS,0.1794,0.1319,+0.0475,0.0475
GPT-4o-Random,MCu,VO,0.2860,0.2397,+0.0464,0.0464
GPT-4o-Random,VL,MCr,0.3121,0.3569,-0.0448,0.0448
GPT-4o-Random,MCr,AT,0.3376,0.3789,-0.0413,0.0413
GPT-4o-Random,VO,GS,-0.0025,0.0375,-0.0400,0.0400
GPT-4o-Random,VO,QLq,0.2906,0.3274,-0.0367,0.0367
GPT-4o-Random,AS,KNf,-0.0326,0.0029,-0.0355,0.0355
GPT-4o-Random,VL,KNf,-0.0300,-0.0632,+0.0332,0.0332
GPT-4o-Random,MCu,AT,0.4055,0.3732,+0.0322,0.0322
GPT-4o-Random,AT,GS,0.2274,0.2006,+0.0268,0.0268
GPT-4o-Random,MCr,QLq,0.2379,0.2129,+0.0250,0.0250
GPT-4o-Random,MCu,QLl,0.2372,0.2592,-0.0219,0.0219
GPT-4o-Random,VL,QLq,0.1222,0.1017,+0.0206,0.0206
GPT-4o-Random,AS,MA,0.3649,0.3466,+0.0184,0.0184
GPT-4o-Random,MCu,CL,0.2287,0.2108,+0.0179,0.0179
GPT-4o-Random,MCr,CL,0.2252,0.2316,-0.0064,0.0064
GPT-4o-Random,VL,AS,0.3945,0.4007,-0.0061,0.0061
GPT-4o-Random,MCr,KNf,0.0905,0.0868,+0.0037,0.0037
GPT-4o-Random,VL,AT,0.1393,0.1414,-0.0020,0.0020
GPT-4o-Random,AT,CL,0.2495,0.2514,-0.0019,0.0019
GPT-4o-mini,AS,AT,0.3984,0.2042,+0.1943,0.1943
GPT-4o-mini,GS,QLq,-0.2301,-0.0363,-0.1939,0.1939
GPT-4o-mini,QLq,CL,0.0251,0.1596,-0.1345,0.1345
GPT-4o-mini,VL,AT,0.2119,0.0839,+0.1280,0.1280
GPT-4o-mini,VO,GS,-0.0491,0.0644,-0.1134,0.1134
GPT-4o-mini,MCu,CL,0.2851,0.1807,+0.1044,0.1044
GPT-4o-mini,MCu,QLl,0.3272,0.2228,+0.1043,0.1043
GPT-4o-mini,AS,CL,0.2348,0.1313,+0.1036,0.1036
GPT-4o-mini,AT,QLl,0.3211,0.2175,+0.1036,0.1036
GPT-4o-mini,AS,QLl,0.2957,0.1967,+0.0990,0.0990
GPT-4o-mini,AS,MA,0.4057,0.3128,+0.0929,0.0929
GPT-4o-mini,QLl,QLq,0.3751,0.4587,-0.0836,0.0836
GPT-4o-mini,VL,VO,0.3436,0.2613,+0.0823,0.0823
GPT-4o-mini,VO,AT,0.3158,0.2342,+0.0816,0.0816
GPT-4o-mini,MCr,MA,0.3337,0.2528,+0.0809,0.0809
GPT-4o-mini,MCr,GS,0.0286,0.1084,-0.0798,0.0798
GPT-4o-mini,MCr,MCu,0.4247,0.3453,+0.0794,0.0794
GPT-4o-mini,AS,KNf,-0.0483,0.0286,-0.0769,0.0769
GPT-4o-mini,AS,MCr,0.4917,0.4163,+0.0754,0.0754
GPT-4o-mini,MA,QLq,0.2992,0.2257,+0.0734,0.0734
GPT-4o-mini,MCr,AT,0.4063,0.3383,+0.0680,0.0680
GPT-4o-mini,MCu,GS,0.0957,0.1607,-0.0649,0.0649
GPT-4o-mini,MA,AT,0.1739,0.1091,+0.0648,0.0648
GPT-4o-mini,VO,KNf,0.0501,0.1148,-0.0647,0.0647
GPT-4o-mini,MA,QLl,0.3633,0.2993,+0.0641,0.0641
GPT-4o-mini,GS,KNf,0.0067,0.0693,-0.0627,0.0627
GPT-4o-mini,VL,GS,-0.0596,0.0029,-0.0624,0.0624
GPT-4o-mini,VL,MCu,0.2220,0.1597,+0.0623,0.0623
GPT-4o-mini,VL,AS,0.4337,0.3716,+0.0622,0.0622
GPT-4o-mini,AS,MCu,0.3544,0.2925,+0.0620,0.0620
GPT-4o-mini,AT,GS,0.1709,0.2318,-0.0609,0.0609
GPT-4o-mini,MCr,QLq,0.2498,0.1983,+0.0515,0.0515
GPT-4o-mini,KNf,CL,0.1009,0.1522,-0.0513,0.0513
GPT-4o-mini,MCu,VO,0.2738,0.2229,+0.0509,0.0509
GPT-4o-mini,MCu,KNf,0.1664,0.2135,-0.0471,0.0471
GPT-4o-mini,QLl,KNf,0.1653,0.1185,+0.0468,0.0468
GPT-4o-mini,AS,GS,0.1554,0.1106,+0.0449,0.0449
GPT-4o-mini,KNf,QLq,0.2690,0.3114,-0.0424,0.0424
GPT-4o-mini,QLl,CL,0.2420,0.2830,-0.0410,0.0410
GPT-4o-mini,VL,MCr,0.3751,0.3346,+0.0405,0.0405
GPT-4o-mini,VL,QLl,0.2910,0.2508,+0.0402,0.0402
GPT-4o-mini,VL,QLq,0.1311,0.0919,+0.0392,0.0392
GPT-4o-mini,VO,QLq,0.3515,0.3151,+0.0364,0.0364
GPT-4o-mini,MCr,CL,0.2156,0.2517,-0.0361,0.0361
GPT-4o-mini,AT,QLq,0.2347,0.2005,+0.0342,0.0342
GPT-4o-mini,VL,MA,0.3848,0.3541,+0.0307,0.0307
GPT-4o-mini,MCu,AT,0.3534,0.3797,-0.0263,0.0263
GPT-4o-mini,AT,KNf,0.1000,0.1256,-0.0255,0.0255
GPT-4o-mini,MA,GS,-0.0328,-0.0078,-0.0250,0.0250
GPT-4o-mini,VL,CL,0.1269,0.1514,-0.0246,0.0246
GPT-4o-mini,VO,QLl,0.3525,0.3760,-0.0235,0.0235
GPT-4o-mini,MCr,QLl,0.4069,0.3836,+0.0233,0.0233
GPT-4o-mini,MCu,QLq,0.2335,0.2560,-0.0224,0.0224
GPT-4o-mini,MCr,KNf,0.0739,0.0932,-0.0193,0.0193
GPT-4o-mini,AT,CL,0.2509,0.2698,-0.0189,0.0189
GPT-4o-mini,GS,QLl,0.0146,0.0317,-0.0171,0.0171
GPT-4o-mini,MA,KNf,0.0851,0.1009,-0.0158,0.0158
GPT-4o-mini,MA,CL,0.0962,0.0816,+0.0147,0.0147
GPT-4o-mini,MCr,VO,0.3440,0.3555,-0.0115,0.0115
GPT-4o-mini,MCu,MA,0.2090,0.1979,+0.0111,0.0111
GPT-4o-mini,MA,VO,0.3047,0.3149,-0.0102,0.0102
GPT-4o-mini,AS,QLq,0.1077,0.0991,+0.0086,0.0086
GPT-4o-mini,GS,CL,0.3691,0.3628,+0.0063,0.0063
GPT-4o-mini,VL,KNf,-0.0579,-0.0600,+0.0021,0.0021
GPT-4o-mini,VO,CL,0.2296,0.2315,-0.0020,0.0020
GPT-4o-mini,AS,VO,0.2994,0.2990,+0.0004,0.0004
Gemini-1-5-Pro,VL,AT,0.2683,0.0151,+0.2532,0.2532
Gemini-1-5-Pro,MCr,MCu,0.4506,0.3013,+0.1493,0.1493
Gemini-1-5-Pro,MA,AT,0.2096,0.0641,+0.1455,0.1455
Gemini-1-5-Pro,KNf,CL,0.2098,0.0701,+0.1396,0.1396
