dim_code,dim_name,model,reasoning_accuracy,mean_correct,sem_correct,n_correct,mean_incorrect,sem_incorrect,n_incorrect
GS,Gestalt and Shape Judgment,Gemini-1-5-Pro,0.4400,0.895,0.063,352,0.743,0.055,448
GS,Gestalt and Shape Judgment,InternVL2-Pro,0.4125,0.891,0.066,330,0.753,0.053,470
GS,Gestalt and Shape Judgment,InternVL2-76B,0.4025,0.932,0.067,322,0.728,0.052,478
GS,Gestalt and Shape Judgment,GPT-4V-Turbo,0.3738,0.913,0.069,299,0.749,0.052,501
GS,Gestalt and Shape Judgment,InternVL2-26B,0.3438,0.895,0.071,275,0.766,0.051,525
GS,Gestalt and Shape Judgment,GPT-4o-mini,0.3425,0.847,0.071,274,0.791,0.051,526
GS,Gestalt and Shape Judgment,Claude-3-Sonnet,0.3375,0.919,0.069,270,0.755,0.052,530
GS,Gestalt and Shape Judgment,Claude-3-Haiku,0.3225,0.953,0.075,257,0.746,0.050,540
GS,Gestalt and Shape Judgment,Claude-3-Opus,0.3141,0.876,0.071,251,0.781,0.051,548
GS,Gestalt and Shape Judgment,Phi-3-Vision,0.3137,0.789,0.070,251,0.820,0.051,549
GS,Gestalt and Shape Judgment,InternVL-Chat-V1-5,0.2966,0.958,0.076,237,0.749,0.049,562
GS,Gestalt and Shape Judgment,Reka-Core,0.2932,0.846,0.072,234,0.798,0.051,564
GS,Gestalt and Shape Judgment,Ovis1.5-Llama3-8B,0.2925,0.889,0.076,234,0.777,0.050,566
GS,Gestalt and Shape Judgment,Ovis1.5-Gemma2-9B,0.2762,0.882,0.073,221,0.782,0.050,579
GS,Gestalt and Shape Judgment,Cambrian-34B,0.2625,0.995,0.084,210,0.744,0.047,590
GS,Gestalt and Shape Judgment,Reka-Flash,0.2619,0.837,0.074,209,0.803,0.050,589
GS,Gestalt and Shape Judgment,Qwen-VL-Max,0.2562,0.883,0.079,205,0.785,0.049,595
GS,Gestalt and Shape Judgment,InternLM-XComposer2-4KHD,0.2537,0.798,0.079,203,0.814,0.049,597
GS,Gestalt and Shape Judgment,MiniCPM-V2-5,0.2537,0.906,0.082,203,0.777,0.048,597
GS,Gestalt and Shape Judgment,Mini-Gemini-HD-Yi-34B,0.2478,1.015,0.086,198,0.744,0.047,601
GS,Gestalt and Shape Judgment,VILA-1-5-40B,0.2387,1.026,0.089,191,0.742,0.046,609
GS,Gestalt and Shape Judgment,Reka-Edge,0.2362,0.804,0.073,189,0.812,0.049,611
GS,Gestalt and Shape Judgment,Gemini-1.0-Pro-Vision,0.2315,0.973,0.086,185,0.762,0.047,614
GS,Gestalt and Shape Judgment,LLaVA-1-6-Yi-34B,0.2130,1.012,0.095,170,0.758,0.046,628
GS,Gestalt and Shape Judgment,MoAI,0.1913,0.915,0.091,153,0.785,0.046,647
GS,Gestalt and Shape Judgment,IDEFICS-2,0.1900,0.836,0.088,152,0.804,0.047,648
GS,Gestalt and Shape Judgment,InternLM-XComposer2,0.1865,0.839,0.089,149,0.805,0.047,650
GS,Gestalt and Shape Judgment,Mini-Gemini-HD-LLaMA3-8B,0.1865,0.846,0.088,149,0.800,0.047,650
GS,Gestalt and Shape Judgment,MiniCPM-V2,0.1815,0.910,0.092,145,0.786,0.046,654
GS,Gestalt and Shape Judgment,DeepSeek-VL,0.1752,0.879,0.098,140,0.792,0.046,659
GS,Gestalt and Shape Judgment,IDEFICS-2-Chatty,0.1744,0.928,0.103,139,0.784,0.045,658
GS,Gestalt and Shape Judgment,SPHINX-V2-13B,0.1613,0.891,0.106,129,0.794,0.045,671
GS,Gestalt and Shape Judgment,Qwen-VL-Plus,0.1577,1.063,0.100,126,0.764,0.045,673
GS,Gestalt and Shape Judgment,LLaVA-1-6-Mistral-7B,0.1353,0.907,0.102,108,0.794,0.045,690
GS,Gestalt and Shape Judgment,ChartGemma,0.1300,0.875,0.104,104,0.800,0.045,696
GS,Gestalt and Shape Judgment,GPT-4o-Random,0.1013,1.185,0.133,81,0.768,0.043,719
QLl,Logical Reasoning,Human,0.8075,0.980,0.024,646,1.104,0.052,154
QLl,Logical Reasoning,Claude-3-5-Sonnet,0.6100,0.959,0.027,488,1.074,0.037,312
QLl,Logical Reasoning,GPT-4o,0.4863,0.969,0.030,389,1.036,0.032,411
QLl,Logical Reasoning,Gemini-1-5-Pro,0.4400,0.940,0.032,352,1.054,0.030,448
QLl,Logical Reasoning,InternVL2-Pro,0.4125,0.976,0.032,330,1.023,0.030,470
QLl,Logical Reasoning,InternVL2-76B,0.4025,0.960,0.032,322,1.033,0.030,478
QLl,Logical Reasoning,GPT-4V-Turbo,0.3738,0.973,0.030,299,1.022,0.030,501
QLl,Logical Reasoning,InternVL2-26B,0.3438,0.985,0.038,275,1.013,0.027,525
QLl,Logical Reasoning,GPT-4o-mini,0.3425,0.982,0.035,274,1.015,0.028,526
QLl,Logical Reasoning,Claude-3-Sonnet,0.3375,0.941,0.035,270,1.036,0.028,530
QLl,Logical Reasoning,Claude-3-Haiku,0.3225,0.961,0.036,257,1.026,0.027,540
QLl,Logical Reasoning,Claude-3-Opus,0.3141,0.992,0.038,251,1.009,0.027,548
QLl,Logical Reasoning,Phi-3-Vision,0.3137,0.956,0.039,251,1.026,0.027,549
QLl,Logical Reasoning,InternVL-Chat-V1-5,0.2966,0.954,0.037,237,1.027,0.027,562
QLl,Logical Reasoning,Reka-Core,0.2932,1.056,0.040,234,0.982,0.026,564
QLl,Logical Reasoning,Ovis1.5-Llama3-8B,0.2925,0.936,0.034,234,1.032,0.027,566
QLl,Logical Reasoning,Ovis1.5-Gemma2-9B,0.2762,0.914,0.037,221,1.038,0.027,579
QLl,Logical Reasoning,Cambrian-34B,0.2625,0.895,0.040,210,1.042,0.026,590
QLl,Logical Reasoning,Reka-Flash,0.2619,0.971,0.040,209,1.017,0.026,589
QLl,Logical Reasoning,Qwen-VL-Max,0.2562,0.971,0.037,205,1.015,0.027,595
QLl,Logical Reasoning,InternLM-XComposer2-4KHD,0.2537,0.985,0.040,203,1.010,0.026,597
QLl,Logical Reasoning,MiniCPM-V2-5,0.2537,0.936,0.039,203,1.027,0.026,597
QLl,Logical Reasoning,Mini-Gemini-HD-Yi-34B,0.2478,0.965,0.035,198,1.017,0.027,601
QLl,Logical Reasoning,VILA-1-5-40B,0.2387,0.969,0.041,191,1.015,0.026,609
QLl,Logical Reasoning,Reka-Edge,0.2362,1.048,0.046,189,0.990,0.025,611
QLl,Logical Reasoning,Gemini-1.0-Pro-Vision,0.2315,1.000,0.041,185,1.005,0.026,614
QLl,Logical Reasoning,LLaVA-1-6-Yi-34B,0.2130,0.912,0.044,170,1.030,0.025,628
QLl,Logical Reasoning,MoAI,0.1913,0.974,0.047,153,1.011,0.025,647
QLl,Logical Reasoning,IDEFICS-2,0.1900,0.974,0.048,152,1.011,0.025,648
QLl,Logical Reasoning,InternLM-XComposer2,0.1865,1.020,0.047,149,1.002,0.025,650
QLl,Logical Reasoning,Mini-Gemini-HD-LLaMA3-8B,0.1865,0.899,0.046,149,1.028,0.025,650
QLl,Logical Reasoning,MiniCPM-V2,0.1815,0.972,0.045,145,1.011,0.025,654
QLl,Logical Reasoning,DeepSeek-VL,0.1752,0.957,0.048,140,1.014,0.025,659
QLl,Logical Reasoning,IDEFICS-2-Chatty,0.1744,1.043,0.051,139,0.998,0.024,658
QLl,Logical Reasoning,SPHINX-V2-13B,0.1613,0.899,0.053,129,1.024,0.024,671
QLl,Logical Reasoning,Qwen-VL-Plus,0.1577,0.992,0.051,126,1.007,0.024,673
QLl,Logical Reasoning,LLaVA-1-6-Mistral-7B,0.1353,0.981,0.057,108,1.009,0.024,690
QLl,Logical Reasoning,ChartGemma,0.1300,0.942,0.054,104,1.013,0.024,696
QLl,Logical Reasoning,GPT-4o-Random,0.1013,0.988,0.062,81,1.006,0.023,719
KNf,Formal Sciences,Human,0.8075,1.175,0.035,646,1.136,0.077,154
KNf,Formal Sciences,Claude-3-5-Sonnet,0.6100,1.154,0.040,488,1.189,0.053,312
KNf,Formal Sciences,GPT-4o,0.4863,1.147,0.046,389,1.187,0.044,411
KNf,Formal Sciences,Gemini-1-5-Pro,0.4400,1.190,0.050,352,1.150,0.041,448
KNf,Formal Sciences,InternVL2-Pro,0.4125,1.170,0.050,330,1.166,0.042,470
KNf,Formal Sciences,InternVL2-76B,0.4025,1.161,0.052,322,1.172,0.041,478
KNf,Formal Sciences,GPT-4V-Turbo,0.3738,1.184,0.055,299,1.158,0.039,501
KNf,Formal Sciences,InternVL2-26B,0.3438,1.211,0.056,275,1.145,0.039,525
KNf,Formal Sciences,GPT-4o-mini,0.3425,1.172,0.054,274,1.165,0.040,526
KNf,Formal Sciences,Claude-3-Sonnet,0.3375,1.219,0.055,270,1.142,0.039,530
KNf,Formal Sciences,Claude-3-Haiku,0.3225,1.265,0.060,257,1.122,0.038,540
KNf,Formal Sciences,Claude-3-Opus,0.3141,1.223,0.059,251,1.142,0.038,548
KNf,Formal Sciences,Phi-3-Vision,0.3137,1.179,0.056,251,1.162,0.039,549
KNf,Formal Sciences,InternVL-Chat-V1-5,0.2966,1.131,0.060,237,1.183,0.038,562
KNf,Formal Sciences,Reka-Core,0.2932,1.209,0.059,234,1.147,0.038,564
KNf,Formal Sciences,Ovis1.5-Llama3-8B,0.2925,1.192,0.058,234,1.157,0.038,566
KNf,Formal Sciences,Ovis1.5-Gemma2-9B,0.2762,1.086,0.059,221,1.199,0.038,579
KNf,Formal Sciences,Cambrian-34B,0.2625,1.195,0.063,210,1.158,0.037,590
KNf,Formal Sciences,Reka-Flash,0.2619,1.172,0.065,209,1.165,0.037,589
KNf,Formal Sciences,Qwen-VL-Max,0.2562,1.190,0.063,205,1.160,0.037,595
KNf,Formal Sciences,InternLM-XComposer2-4KHD,0.2537,1.172,0.065,203,1.166,0.037,597
KNf,Formal Sciences,MiniCPM-V2-5,0.2537,1.133,0.069,203,1.179,0.036,597
KNf,Formal Sciences,Mini-Gemini-HD-Yi-34B,0.2478,1.167,0.069,198,1.165,0.036,601
KNf,Formal Sciences,VILA-1-5-40B,0.2387,1.183,0.070,191,1.163,0.036,609
KNf,Formal Sciences,Reka-Edge,0.2362,1.196,0.062,189,1.159,0.037,611
KNf,Formal Sciences,Gemini-1.0-Pro-Vision,0.2315,1.141,0.067,185,1.178,0.036,614
KNf,Formal Sciences,LLaVA-1-6-Yi-34B,0.2130,1.135,0.069,170,1.177,0.036,628
KNf,Formal Sciences,MoAI,0.1913,1.157,0.072,153,1.170,0.036,647
KNf,Formal Sciences,IDEFICS-2,0.1900,1.263,0.078,152,1.145,0.035,648
KNf,Formal Sciences,InternLM-XComposer2,0.1865,1.087,0.073,149,1.185,0.036,650
KNf,Formal Sciences,Mini-Gemini-HD-LLaMA3-8B,0.1865,1.181,0.077,149,1.162,0.035,650
KNf,Formal Sciences,MiniCPM-V2,0.1815,1.214,0.078,145,1.159,0.035,654
KNf,Formal Sciences,DeepSeek-VL,0.1752,1.279,0.082,140,1.144,0.035,659
KNf,Formal Sciences,IDEFICS-2-Chatty,0.1744,1.209,0.083,139,1.160,0.035,658
KNf,Formal Sciences,SPHINX-V2-13B,0.1613,1.341,0.084,129,1.134,0.034,671
KNf,Formal Sciences,Qwen-VL-Plus,0.1577,1.214,0.090,126,1.159,0.034,673
KNf,Formal Sciences,LLaVA-1-6-Mistral-7B,0.1353,1.231,0.084,108,1.155,0.035,690
KNf,Formal Sciences,ChartGemma,0.1300,1.183,0.082,104,1.165,0.035,696
KNf,Formal Sciences,GPT-4o-Random,0.1013,1.259,0.096,81,1.157,0.034,719
QLq,Quantitative Reasoning,Human,0.8075,1.251,0.022,646,1.279,0.046,154
QLq,Quantitative Reasoning,Claude-3-5-Sonnet,0.6100,1.260,0.026,488,1.250,0.032,312
QLq,Quantitative Reasoning,GPT-4o,0.4863,1.257,0.029,389,1.255,0.028,411
QLq,Quantitative Reasoning,Gemini-1-5-Pro,0.4400,1.253,0.031,352,1.259,0.027,448
QLq,Quantitative Reasoning,InternVL2-Pro,0.4125,1.252,0.031,330,1.260,0.027,470
QLq,Quantitative Reasoning,InternVL2-76B,0.4025,1.248,0.032,322,1.262,0.026,478
QLq,Quantitative Reasoning,GPT-4V-Turbo,0.3738,1.261,0.036,299,1.253,0.024,501
QLq,Quantitative Reasoning,InternVL2-26B,0.3438,1.236,0.033,275,1.267,0.025,525
QLq,Quantitative Reasoning,GPT-4o-mini,0.3425,1.237,0.033,274,1.266,0.025,526
QLq,Quantitative Reasoning,Claude-3-Sonnet,0.3375,1.274,0.035,270,1.247,0.025,530
QLq,Quantitative Reasoning,Claude-3-Haiku,0.3225,1.288,0.037,257,1.241,0.024,540
QLq,Quantitative Reasoning,Claude-3-Opus,0.3141,1.303,0.036,251,1.235,0.024,548
QLq,Quantitative Reasoning,Phi-3-Vision,0.3137,1.267,0.035,251,1.251,0.025,549
QLq,Quantitative Reasoning,InternVL-Chat-V1-5,0.2966,1.224,0.037,237,1.270,0.024,562
QLq,Quantitative Reasoning,Reka-Core,0.2932,1.333,0.038,234,1.223,0.024,564
QLq,Quantitative Reasoning,Ovis1.5-Llama3-8B,0.2925,1.261,0.037,234,1.254,0.024,566
QLq,Quantitative Reasoning,Ovis1.5-Gemma2-9B,0.2762,1.222,0.037,221,1.269,0.024,579
QLq,Quantitative Reasoning,Cambrian-34B,0.2625,1.243,0.040,210,1.261,0.023,590
QLq,Quantitative Reasoning,Reka-Flash,0.2619,1.263,0.044,209,1.255,0.022,589
QLq,Quantitative Reasoning,Qwen-VL-Max,0.2562,1.244,0.038,205,1.261,0.024,595
QLq,Quantitative Reasoning,InternLM-XComposer2-4KHD,0.2537,1.227,0.037,203,1.266,0.024,597
QLq,Quantitative Reasoning,MiniCPM-V2-5,0.2537,1.163,0.036,203,1.288,0.024,597
QLq,Quantitative Reasoning,Mini-Gemini-HD-Yi-34B,0.2478,1.187,0.037,198,1.278,0.024,601
QLq,Quantitative Reasoning,VILA-1-5-40B,0.2387,1.251,0.039,191,1.258,0.023,609
QLq,Quantitative Reasoning,Reka-Edge,0.2362,1.317,0.040,189,1.237,0.023,611
QLq,Quantitative Reasoning,Gemini-1.0-Pro-Vision,0.2315,1.238,0.043,185,1.262,0.023,614
QLq,Quantitative Reasoning,LLaVA-1-6-Yi-34B,0.2130,1.147,0.034,170,1.287,0.024,628
QLq,Quantitative Reasoning,MoAI,0.1913,1.268,0.039,153,1.253,0.023,647
QLq,Quantitative Reasoning,IDEFICS-2,0.1900,1.224,0.044,152,1.264,0.023,648
QLq,Quantitative Reasoning,InternLM-XComposer2,0.1865,1.248,0.045,149,1.257,0.023,650
QLq,Quantitative Reasoning,Mini-Gemini-HD-LLaMA3-8B,0.1865,1.154,0.043,149,1.277,0.022,650
QLq,Quantitative Reasoning,MiniCPM-V2,0.1815,1.200,0.043,145,1.269,0.023,654
QLq,Quantitative Reasoning,DeepSeek-VL,0.1752,1.214,0.050,140,1.264,0.022,659
QLq,Quantitative Reasoning,IDEFICS-2-Chatty,0.1744,1.273,0.050,139,1.254,0.022,658
QLq,Quantitative Reasoning,SPHINX-V2-13B,0.1613,1.178,0.043,129,1.271,0.022,671
QLq,Quantitative Reasoning,Qwen-VL-Plus,0.1577,1.246,0.055,126,1.259,0.022,673
QLq,Quantitative Reasoning,LLaVA-1-6-Mistral-7B,0.1353,1.278,0.051,108,1.254,0.022,690
QLq,Quantitative Reasoning,ChartGemma,0.1300,1.250,0.049,104,1.257,0.022,696
QLq,Quantitative Reasoning,GPT-4o-Random,0.1013,1.222,0.061,81,1.260,0.021,719
CL,"Conceptualisation, Learning, and Abstraction",Human,0.8075,0.195,0.017,646,0.208,0.043,154
CL,"Conceptualisation, Learning, and Abstraction",Claude-3-5-Sonnet,0.6100,0.174,0.019,488,0.234,0.028,312
CL,"Conceptualisation, Learning, and Abstraction",GPT-4o,0.4863,0.208,0.023,389,0.187,0.022,411
CL,"Conceptualisation, Learning, and Abstraction",Gemini-1-5-Pro,0.4400,0.190,0.022,352,0.203,0.022,448
CL,"Conceptualisation, Learning, and Abstraction",InternVL2-Pro,0.4125,0.179,0.022,330,0.211,0.022,470
CL,"Conceptualisation, Learning, and Abstraction",InternVL2-76B,0.4025,0.199,0.024,322,0.197,0.021,478
CL,"Conceptualisation, Learning, and Abstraction",GPT-4V-Turbo,0.3738,0.221,0.026,299,0.184,0.020,501
CL,"Conceptualisation, Learning, and Abstraction",InternVL2-26B,0.3438,0.164,0.023,275,0.215,0.021,525
CL,"Conceptualisation, Learning, and Abstraction",GPT-4o-mini,0.3425,0.226,0.027,274,0.183,0.019,526
CL,"Conceptualisation, Learning, and Abstraction",Claude-3-Sonnet,0.3375,0.193,0.025,270,0.200,0.020,530
CL,"Conceptualisation, Learning, and Abstraction",Claude-3-Haiku,0.3225,0.183,0.026,257,0.206,0.020,540
CL,"Conceptualisation, Learning, and Abstraction",Claude-3-Opus,0.3141,0.195,0.026,251,0.199,0.020,548
CL,"Conceptualisation, Learning, and Abstraction",Phi-3-Vision,0.3137,0.179,0.027,251,0.206,0.019,549
CL,"Conceptualisation, Learning, and Abstraction",InternVL-Chat-V1-5,0.2966,0.198,0.026,237,0.198,0.020,562
CL,"Conceptualisation, Learning, and Abstraction",Reka-Core,0.2932,0.171,0.025,234,0.209,0.020,564
CL,"Conceptualisation, Learning, and Abstraction",Ovis1.5-Llama3-8B,0.2925,0.154,0.024,234,0.216,0.020,566
CL,"Conceptualisation, Learning, and Abstraction",Ovis1.5-Gemma2-9B,0.2762,0.172,0.026,221,0.207,0.019,579
CL,"Conceptualisation, Learning, and Abstraction",Cambrian-34B,0.2625,0.186,0.029,210,0.202,0.019,590
CL,"Conceptualisation, Learning, and Abstraction",Reka-Flash,0.2619,0.201,0.029,209,0.197,0.019,589
CL,"Conceptualisation, Learning, and Abstraction",Qwen-VL-Max,0.2562,0.195,0.029,205,0.198,0.019,595
CL,"Conceptualisation, Learning, and Abstraction",InternLM-XComposer2-4KHD,0.2537,0.197,0.030,203,0.198,0.019,597
CL,"Conceptualisation, Learning, and Abstraction",MiniCPM-V2-5,0.2537,0.167,0.026,203,0.208,0.019,597
CL,"Conceptualisation, Learning, and Abstraction",Mini-Gemini-HD-Yi-34B,0.2478,0.202,0.029,198,0.196,0.019,601
CL,"Conceptualisation, Learning, and Abstraction",VILA-1-5-40B,0.2387,0.173,0.028,191,0.205,0.019,609
CL,"Conceptualisation, Learning, and Abstraction",Reka-Edge,0.2362,0.164,0.027,189,0.208,0.019,611
CL,"Conceptualisation, Learning, and Abstraction",Gemini-1.0-Pro-Vision,0.2315,0.216,0.034,185,0.192,0.018,614
CL,"Conceptualisation, Learning, and Abstraction",LLaVA-1-6-Yi-34B,0.2130,0.129,0.026,170,0.217,0.019,628
CL,"Conceptualisation, Learning, and Abstraction",MoAI,0.1913,0.137,0.028,153,0.212,0.018,647
CL,"Conceptualisation, Learning, and Abstraction",IDEFICS-2,0.1900,0.197,0.035,152,0.198,0.018,648
CL,"Conceptualisation, Learning, and Abstraction",InternLM-XComposer2,0.1865,0.168,0.031,149,0.205,0.018,650
CL,"Conceptualisation, Learning, and Abstraction",Mini-Gemini-HD-LLaMA3-8B,0.1865,0.141,0.030,149,0.208,0.018,650
CL,"Conceptualisation, Learning, and Abstraction",MiniCPM-V2,0.1815,0.207,0.036,145,0.194,0.017,654
CL,"Conceptualisation, Learning, and Abstraction",DeepSeek-VL,0.1752,0.236,0.036,140,0.188,0.017,659
CL,"Conceptualisation, Learning, and Abstraction",IDEFICS-2-Chatty,0.1744,0.194,0.037,139,0.199,0.018,658
CL,"Conceptualisation, Learning, and Abstraction",SPHINX-V2-13B,0.1613,0.163,0.033,129,0.204,0.018,671
CL,"Conceptualisation, Learning, and Abstraction",Qwen-VL-Plus,0.1577,0.254,0.041,126,0.187,0.017,673
CL,"Conceptualisation, Learning, and Abstraction",LLaVA-1-6-Mistral-7B,0.1353,0.231,0.047,108,0.193,0.017,690
CL,"Conceptualisation, Learning, and Abstraction",ChartGemma,0.1300,0.125,0.033,104,0.208,0.017,696
CL,"Conceptualisation, Learning, and Abstraction",GPT-4o-Random,0.1013,0.222,0.046,81,0.195,0.017,719
