candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.1,1.0,1.0,10.0,0.1,215,50.0,72,50 trees d=1,0.558099,0.528455,0.029644,0.19331,0.230894,0.037584
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,2,0.03,0.8,0.8,1.0,0.0,215,100.0,73,50 trees d=2,0.573944,0.495935,0.078009,0.182042,0.243902,0.06186
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,2,0.03,0.8,0.8,1.0,0.1,215,100.0,74,50 trees d=2,0.570423,0.495935,0.074488,0.180634,0.243902,0.063268
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,2,0.03,0.8,0.8,5.0,0.0,215,100.0,75,50 trees d=2,0.572183,0.504065,0.068118,0.182042,0.239024,0.056982
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,2,0.03,0.8,0.8,5.0,0.1,215,100.0,76,50 trees d=2,0.570423,0.495935,0.074488,0.184155,0.245528,0.061373
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,2,0.03,0.8,0.8,10.0,0.0,215,100.0,77,50 trees d=2,0.570423,0.504065,0.066358,0.185211,0.242276,0.057065
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,2,0.03,0.8,0.8,10.0,0.1,215,100.0,78,50 trees d=2,0.558099,0.512195,0.045904,0.191549,0.237398,0.045849
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,2,0.03,0.8,1.0,1.0,0.0,215,100.0,79,50 trees d=2,0.584507,0.520325,0.064182,0.173944,0.235772,0.061828
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,2,0.03,0.8,1.0,1.0,0.1,215,100.0,80,50 trees d=2,0.580986,0.495935,0.085051,0.176408,0.256911,0.080503
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,2,0.03,0.8,1.0,5.0,0.0,215,100.0,81,50 trees d=2,0.568662,0.504065,0.064597,0.180634,0.237398,0.056764
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,2,0.03,0.8,1.0,5.0,0.1,215,100.0,82,50 trees d=2,0.566901,0.504065,0.062836,0.184859,0.24065,0.055791
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,2,0.03,0.8,1.0,10.0,0.0,215,100.0,83,50 trees d=2,0.570423,0.487805,0.082618,0.180986,0.250407,0.069421
xgb_n=50_depth=2_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,2,0.03,0.8,1.0,10.0,0.1,215,100.0,84,50 trees d=2,0.573944,0.495935,0.078009,0.179577,0.247154,0.067577
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,2,0.03,1.0,0.8,1.0,0.0,215,100.0,85,50 trees d=2,0.556338,0.512195,0.044143,0.194366,0.23252,0.038154
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,2,0.03,1.0,0.8,1.0,0.1,215,100.0,86,50 trees d=2,0.556338,0.520325,0.036013,0.192958,0.229268,0.03631
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,2,0.03,1.0,0.8,5.0,0.0,215,100.0,87,50 trees d=2,0.56338,0.504065,0.059315,0.189789,0.237398,0.047609
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,2,0.03,1.0,0.8,5.0,0.1,215,100.0,88,50 trees d=2,0.565141,0.504065,0.061076,0.188732,0.242276,0.053544
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,2,0.03,1.0,0.8,10.0,0.0,215,100.0,89,50 trees d=2,0.565141,0.512195,0.052946,0.188732,0.237398,0.048666
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,2,0.03,1.0,0.8,10.0,0.1,215,100.0,90,50 trees d=2,0.554577,0.504065,0.050512,0.193662,0.24065,0.046988
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,2,0.03,1.0,1.0,1.0,0.0,215,100.0,91,50 trees d=2,0.56162,0.536585,0.025035,0.187324,0.222764,0.03544
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,2,0.03,1.0,1.0,1.0,0.1,215,100.0,92,50 trees d=2,0.554577,0.536585,0.017992,0.192254,0.222764,0.03051
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,2,0.03,1.0,1.0,5.0,0.0,215,100.0,93,50 trees d=2,0.552817,0.520325,0.032492,0.19331,0.22439,0.03108
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,2,0.03,1.0,1.0,5.0,0.1,215,100.0,94,50 trees d=2,0.559859,0.512195,0.047664,0.18838,0.235772,0.047392
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,2,0.03,1.0,1.0,10.0,0.0,215,100.0,95,50 trees d=2,0.56162,0.512195,0.049425,0.188732,0.237398,0.048666
xgb_n=50_depth=2_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,2,0.03,1.0,1.0,10.0,0.1,215,100.0,96,50 trees d=2,0.56338,0.504065,0.059315,0.188732,0.24065,0.051918
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,2,0.05,0.8,0.8,1.0,0.0,215,100.0,97,50 trees d=2,0.584507,0.512195,0.072312,0.167958,0.245528,0.07757
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,2,0.05,0.8,0.8,1.0,0.1,215,100.0,98,50 trees d=2,0.584507,0.512195,0.072312,0.17007,0.243902,0.073832
