model,dim,dim_name,emergent,perm_imp_mean,perm_imp_std
Cambrian-34B,AT,Atypicality,no,-0.0090,0.0125
Reka-Flash,MA,Multi-Element Visual Aggregation,yes,0.0259,0.0239
Reka-Flash,VL,Visual Localization and Grounding,yes,0.0078,0.0132
Reka-Flash,AS,Attention and Scan,no,0.0062,0.0106
Reka-Flash,AT,Atypicality,no,0.0033,0.0115
Reka-Flash,KNf,Formal Sciences,no,0.0029,0.0105
Reka-Flash,GS,Gestalt and Shape Judgment,yes,0.0028,0.0157
Reka-Flash,QLl,Logical Reasoning,no,0.0013,0.0089
Reka-Flash,MCu,Calibrating Knowns and Unknowns,no,-0.0016,0.0185
Reka-Flash,QLq,Quantitative Reasoning,no,-0.0016,0.0117
Reka-Flash,MCr,Identifying Relevant Information,no,-0.0016,0.0130
Reka-Flash,VO,Volume,no,-0.0036,0.0079
Reka-Flash,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0052,0.0036
Qwen-VL-Max,MCu,Calibrating Knowns and Unknowns,no,0.0228,0.0194
Qwen-VL-Max,MA,Multi-Element Visual Aggregation,yes,0.0202,0.0129
Qwen-VL-Max,VO,Volume,no,0.0166,0.0099
Qwen-VL-Max,QLq,Quantitative Reasoning,no,0.0122,0.0147
Qwen-VL-Max,VL,Visual Localization and Grounding,yes,0.0070,0.0150
Qwen-VL-Max,AS,Attention and Scan,no,0.0044,0.0135
Qwen-VL-Max,MCr,Identifying Relevant Information,no,0.0030,0.0093
Qwen-VL-Max,QLl,Logical Reasoning,no,0.0012,0.0146
Qwen-VL-Max,AT,Atypicality,no,0.0009,0.0120
Qwen-VL-Max,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0001,0.0039
Qwen-VL-Max,GS,Gestalt and Shape Judgment,yes,-0.0017,0.0149
Qwen-VL-Max,KNf,Formal Sciences,no,-0.0065,0.0128
InternLM-XComposer2-4KHD,MA,Multi-Element Visual Aggregation,yes,0.0251,0.0302
InternLM-XComposer2-4KHD,VO,Volume,no,0.0112,0.0107
InternLM-XComposer2-4KHD,AS,Attention and Scan,no,0.0083,0.0216
InternLM-XComposer2-4KHD,MCu,Calibrating Knowns and Unknowns,no,0.0054,0.0179
InternLM-XComposer2-4KHD,QLl,Logical Reasoning,no,0.0046,0.0209
InternLM-XComposer2-4KHD,MCr,Identifying Relevant Information,no,0.0034,0.0108
InternLM-XComposer2-4KHD,VL,Visual Localization and Grounding,yes,-0.0012,0.0212
InternLM-XComposer2-4KHD,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0026,0.0132
InternLM-XComposer2-4KHD,QLq,Quantitative Reasoning,no,-0.0041,0.0138
InternLM-XComposer2-4KHD,AT,Atypicality,no,-0.0077,0.0150
InternLM-XComposer2-4KHD,GS,Gestalt and Shape Judgment,yes,-0.0082,0.0108
InternLM-XComposer2-4KHD,KNf,Formal Sciences,no,-0.0129,0.0105
MiniCPM-V2-5,VL,Visual Localization and Grounding,yes,0.0249,0.0178
MiniCPM-V2-5,AS,Attention and Scan,no,0.0224,0.0183
MiniCPM-V2-5,MA,Multi-Element Visual Aggregation,yes,0.0194,0.0155
MiniCPM-V2-5,GS,Gestalt and Shape Judgment,yes,0.0042,0.0144
MiniCPM-V2-5,MCu,Calibrating Knowns and Unknowns,no,0.0032,0.0091
MiniCPM-V2-5,AT,Atypicality,no,0.0032,0.0149
MiniCPM-V2-5,KNf,Formal Sciences,no,0.0026,0.0151
MiniCPM-V2-5,VO,Volume,no,0.0012,0.0055
MiniCPM-V2-5,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0023,0.0056
MiniCPM-V2-5,QLq,Quantitative Reasoning,no,-0.0042,0.0102
MiniCPM-V2-5,QLl,Logical Reasoning,no,-0.0043,0.0057
MiniCPM-V2-5,MCr,Identifying Relevant Information,no,-0.0049,0.0092
Mini-Gemini-HD-Yi-34B,MA,Multi-Element Visual Aggregation,yes,0.0409,0.0176
Mini-Gemini-HD-Yi-34B,GS,Gestalt and Shape Judgment,yes,0.0274,0.0241
Mini-Gemini-HD-Yi-34B,VL,Visual Localization and Grounding,yes,0.0126,0.0238
Mini-Gemini-HD-Yi-34B,VO,Volume,no,0.0114,0.0091
Mini-Gemini-HD-Yi-34B,QLl,Logical Reasoning,no,0.0097,0.0118
Mini-Gemini-HD-Yi-34B,AT,Atypicality,no,0.0080,0.0075
Mini-Gemini-HD-Yi-34B,MCu,Calibrating Knowns and Unknowns,no,0.0070,0.0214
Mini-Gemini-HD-Yi-34B,CL,"Conceptualisation, Learning, and Abstraction",no,0.0059,0.0057
Mini-Gemini-HD-Yi-34B,KNf,Formal Sciences,no,0.0009,0.0097
Mini-Gemini-HD-Yi-34B,MCr,Identifying Relevant Information,no,0.0004,0.0094
Mini-Gemini-HD-Yi-34B,AS,Attention and Scan,no,-0.0003,0.0089
Mini-Gemini-HD-Yi-34B,QLq,Quantitative Reasoning,no,-0.0008,0.0055
VILA-1-5-40B,VL,Visual Localization and Grounding,yes,0.0527,0.0404
VILA-1-5-40B,GS,Gestalt and Shape Judgment,yes,0.0330,0.0185
VILA-1-5-40B,AS,Attention and Scan,no,0.0140,0.0185
VILA-1-5-40B,MA,Multi-Element Visual Aggregation,yes,0.0080,0.0166
VILA-1-5-40B,MCr,Identifying Relevant Information,no,0.0058,0.0156
VILA-1-5-40B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0006,0.0082
VILA-1-5-40B,QLl,Logical Reasoning,no,-0.0008,0.0124
VILA-1-5-40B,QLq,Quantitative Reasoning,no,-0.0030,0.0130
VILA-1-5-40B,VO,Volume,no,-0.0039,0.0065
VILA-1-5-40B,AT,Atypicality,no,-0.0051,0.0096
VILA-1-5-40B,MCu,Calibrating Knowns and Unknowns,no,-0.0067,0.0121
VILA-1-5-40B,KNf,Formal Sciences,no,-0.0108,0.0158
Reka-Edge,MCu,Calibrating Knowns and Unknowns,no,0.0321,0.0178
Reka-Edge,GS,Gestalt and Shape Judgment,yes,0.0275,0.0218
Reka-Edge,AT,Atypicality,no,0.0274,0.0118
Reka-Edge,AS,Attention and Scan,no,0.0185,0.0170
Reka-Edge,QLl,Logical Reasoning,no,0.0173,0.0195
Reka-Edge,MA,Multi-Element Visual Aggregation,yes,0.0166,0.0278
Reka-Edge,QLq,Quantitative Reasoning,no,0.0130,0.0167
Reka-Edge,KNf,Formal Sciences,no,0.0091,0.0200
Reka-Edge,CL,"Conceptualisation, Learning, and Abstraction",no,0.0037,0.0071
Reka-Edge,VL,Visual Localization and Grounding,yes,0.0019,0.0108
Reka-Edge,MCr,Identifying Relevant Information,no,-0.0043,0.0126
Reka-Edge,VO,Volume,no,-0.0046,0.0063
Gemini-1.0-Pro-Vision,MCu,Calibrating Knowns and Unknowns,no,0.0114,0.0251
Gemini-1.0-Pro-Vision,MCr,Identifying Relevant Information,no,0.0105,0.0166
Gemini-1.0-Pro-Vision,VO,Volume,no,0.0038,0.0097
Gemini-1.0-Pro-Vision,GS,Gestalt and Shape Judgment,yes,0.0008,0.0356
Gemini-1.0-Pro-Vision,QLq,Quantitative Reasoning,no,-0.0004,0.0097
Gemini-1.0-Pro-Vision,AS,Attention and Scan,no,-0.0027,0.0237
Gemini-1.0-Pro-Vision,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0050,0.0088
Gemini-1.0-Pro-Vision,QLl,Logical Reasoning,no,-0.0058,0.0125
Gemini-1.0-Pro-Vision,VL,Visual Localization and Grounding,yes,-0.0084,0.0151
Gemini-1.0-Pro-Vision,MA,Multi-Element Visual Aggregation,yes,-0.0084,0.0224
Gemini-1.0-Pro-Vision,KNf,Formal Sciences,no,-0.0097,0.0116
Gemini-1.0-Pro-Vision,AT,Atypicality,no,-0.0101,0.0132
LLaVA-1-6-Yi-34B,GS,Gestalt and Shape Judgment,yes,0.0455,0.0327
LLaVA-1-6-Yi-34B,AS,Attention and Scan,no,0.0274,0.0202
LLaVA-1-6-Yi-34B,MCu,Calibrating Knowns and Unknowns,no,0.0195,0.0174
LLaVA-1-6-Yi-34B,AT,Atypicality,no,0.0109,0.0140
LLaVA-1-6-Yi-34B,CL,"Conceptualisation, Learning, and Abstraction",no,0.0101,0.0066
LLaVA-1-6-Yi-34B,QLl,Logical Reasoning,no,0.0084,0.0133
LLaVA-1-6-Yi-34B,QLq,Quantitative Reasoning,no,0.0072,0.0094
LLaVA-1-6-Yi-34B,MA,Multi-Element Visual Aggregation,yes,0.0052,0.0192
LLaVA-1-6-Yi-34B,VL,Visual Localization and Grounding,yes,-0.0006,0.0123
LLaVA-1-6-Yi-34B,VO,Volume,no,-0.0012,0.0115
LLaVA-1-6-Yi-34B,MCr,Identifying Relevant Information,no,-0.0025,0.0120
LLaVA-1-6-Yi-34B,KNf,Formal Sciences,no,-0.0064,0.0142
MoAI,GS,Gestalt and Shape Judgment,yes,0.0262,0.0267
MoAI,AT,Atypicality,no,0.0125,0.0169
MoAI,MCr,Identifying Relevant Information,no,0.0101,0.0193
MoAI,MCu,Calibrating Knowns and Unknowns,no,0.0087,0.0103
MoAI,AS,Attention and Scan,no,0.0036,0.0232
MoAI,MA,Multi-Element Visual Aggregation,yes,0.0033,0.0282
MoAI,QLl,Logical Reasoning,no,0.0007,0.0217
MoAI,VL,Visual Localization and Grounding,yes,0.0007,0.0139
MoAI,QLq,Quantitative Reasoning,no,-0.0010,0.0114
MoAI,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0012,0.0128
MoAI,KNf,Formal Sciences,no,-0.0020,0.0229
MoAI,VO,Volume,no,-0.0037,0.0084
IDEFICS-2,GS,Gestalt and Shape Judgment,yes,0.0315,0.0222
IDEFICS-2,VL,Visual Localization and Grounding,yes,0.0264,0.0263
IDEFICS-2,AT,Atypicality,no,0.0141,0.0238
IDEFICS-2,QLq,Quantitative Reasoning,no,0.0121,0.0232
IDEFICS-2,AS,Attention and Scan,no,0.0099,0.0186
IDEFICS-2,MA,Multi-Element Visual Aggregation,yes,0.0089,0.0197
IDEFICS-2,MCu,Calibrating Knowns and Unknowns,no,-0.0009,0.0146
IDEFICS-2,QLl,Logical Reasoning,no,-0.0012,0.0113
IDEFICS-2,MCr,Identifying Relevant Information,no,-0.0067,0.0139
IDEFICS-2,VO,Volume,no,-0.0071,0.0140
IDEFICS-2,KNf,Formal Sciences,no,-0.0073,0.0242
IDEFICS-2,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0091,0.0130
InternLM-XComposer2,AT,Atypicality,no,0.0268,0.0182
