sample_idx,target,family,roc_auc,roc_auc_sd,bal_acc,f1,modal_best_params,seed
19,GPT-4o,logistic_regularized,0.6854,0.0655,0.6428,0.6689,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260637
19,GPT-4o,random_forest,0.6817,0.0585,0.6444,0.6722,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260637
19,GPT-4o,hist_gb,0.655,0.0518,0.6178,0.6323,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260637
19,GPT-4o,xgboost,0.6298,0.0501,0.6007,0.6259,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260637
19,Claude-3-5-Sonnet,logistic_regularized,0.5697,0.0603,0.509,0.1208,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260637
19,Claude-3-5-Sonnet,random_forest,0.5857,0.0745,0.5015,0.0269,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260637
19,Claude-3-5-Sonnet,hist_gb,0.5623,0.0488,0.5538,0.4043,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260637
19,Claude-3-5-Sonnet,xgboost,0.5168,0.0398,0.544,0.3598,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260637
20,GPT-4o,logistic_regularized,0.6537,0.0482,0.6203,0.6296,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260638
20,GPT-4o,random_forest,0.6471,0.0649,0.6009,0.6264,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260638
20,GPT-4o,hist_gb,0.6313,0.0451,0.6086,0.6147,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 15}",20260638
20,GPT-4o,xgboost,0.6288,0.0468,0.6104,0.6182,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260638
20,Claude-3-5-Sonnet,logistic_regularized,0.6067,0.0584,0.5337,0.2428,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260638
20,Claude-3-5-Sonnet,random_forest,0.6098,0.0711,0.5018,0.0852,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260638
20,Claude-3-5-Sonnet,hist_gb,0.5522,0.0606,0.5428,0.389,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 15}",20260638
20,Claude-3-5-Sonnet,xgboost,0.5738,0.0687,0.5602,0.3922,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260638
21,GPT-4o,logistic_regularized,0.6889,0.0315,0.6468,0.6581,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260639
21,GPT-4o,random_forest,0.6828,0.031,0.6434,0.6644,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260639
21,GPT-4o,hist_gb,0.6494,0.0384,0.6187,0.6269,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260639
21,GPT-4o,xgboost,0.6454,0.0414,0.6107,0.6182,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260639
21,Claude-3-5-Sonnet,logistic_regularized,0.6432,0.0523,0.5568,0.3096,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260639
21,Claude-3-5-Sonnet,random_forest,0.6383,0.0602,0.5241,0.1526,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260639
21,Claude-3-5-Sonnet,hist_gb,0.591,0.0531,0.5672,0.413,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260639
21,Claude-3-5-Sonnet,xgboost,0.6184,0.0397,0.5618,0.3953,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260639
22,GPT-4o,logistic_regularized,0.6749,0.0427,0.6246,0.6194,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260640
22,GPT-4o,random_forest,0.664,0.053,0.619,0.6326,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260640
22,GPT-4o,hist_gb,0.6238,0.0684,0.5848,0.5804,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260640
22,GPT-4o,xgboost,0.6376,0.0627,0.5958,0.5887,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260640
22,Claude-3-5-Sonnet,logistic_regularized,0.6739,0.0531,0.5833,0.3838,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260640
22,Claude-3-5-Sonnet,random_forest,0.6475,0.0533,0.5613,0.2994,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 20}",20260640
22,Claude-3-5-Sonnet,hist_gb,0.6329,0.0628,0.6031,0.4636,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260640
22,Claude-3-5-Sonnet,xgboost,0.6323,0.0535,0.5962,0.443,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260640
23,GPT-4o,logistic_regularized,0.6776,0.042,0.6222,0.6454,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260641
23,GPT-4o,random_forest,0.6672,0.0348,0.6285,0.6699,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260641
23,GPT-4o,hist_gb,0.6535,0.0496,0.6202,0.6369,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260641
23,GPT-4o,xgboost,0.6394,0.0428,0.6044,0.6171,"{'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260641
23,Claude-3-5-Sonnet,logistic_regularized,0.5784,0.0729,0.5475,0.2948,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260641
23,Claude-3-5-Sonnet,random_forest,0.5847,0.0509,0.5107,0.0673,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260641
23,Claude-3-5-Sonnet,hist_gb,0.5908,0.0437,0.5702,0.4165,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260641
23,Claude-3-5-Sonnet,xgboost,0.584,0.0488,0.5898,0.424,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260641
24,GPT-4o,logistic_regularized,0.6171,0.0336,0.5844,0.5994,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260642
24,GPT-4o,random_forest,0.6242,0.0325,0.6085,0.6355,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 20}",20260642
24,GPT-4o,hist_gb,0.5944,0.028,0.5618,0.5849,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260642
24,GPT-4o,xgboost,0.5856,0.0412,0.5749,0.5885,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260642
24,Claude-3-5-Sonnet,logistic_regularized,0.5989,0.0654,0.5571,0.338,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260642
24,Claude-3-5-Sonnet,random_forest,0.6065,0.0627,0.5346,0.1817,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260642
24,Claude-3-5-Sonnet,hist_gb,0.5817,0.051,0.5742,0.4333,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260642
24,Claude-3-5-Sonnet,xgboost,0.5741,0.0508,0.575,0.418,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260642
25,GPT-4o,logistic_regularized,0.6315,0.0525,0.6042,0.6115,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260643
25,GPT-4o,random_forest,0.6425,0.0589,0.6067,0.6226,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260643
25,GPT-4o,hist_gb,0.5899,0.0362,0.5734,0.5749,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260643
25,GPT-4o,xgboost,0.5838,0.0488,0.5725,0.5776,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260643
25,Claude-3-5-Sonnet,logistic_regularized,0.5811,0.0525,0.5336,0.216,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260643
25,Claude-3-5-Sonnet,random_forest,0.587,0.0468,0.5054,0.0388,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260643
25,Claude-3-5-Sonnet,hist_gb,0.5195,0.059,0.5193,0.3386,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260643
25,Claude-3-5-Sonnet,xgboost,0.5282,0.0568,0.5161,0.2977,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260643
26,GPT-4o,logistic_regularized,0.6581,0.0334,0.6048,0.6059,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260644
26,GPT-4o,random_forest,0.6485,0.0365,0.6192,0.6473,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260644
26,GPT-4o,hist_gb,0.616,0.0353,0.5976,0.5981,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260644
26,GPT-4o,xgboost,0.639,0.0347,0.5945,0.5985,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260644
26,Claude-3-5-Sonnet,logistic_regularized,0.6092,0.0445,0.4976,0.1279,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260644
26,Claude-3-5-Sonnet,random_forest,0.6256,0.0452,0.5221,0.2344,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 20}",20260644
26,Claude-3-5-Sonnet,hist_gb,0.5731,0.0432,0.5355,0.3729,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260644
26,Claude-3-5-Sonnet,xgboost,0.5902,0.0348,0.5526,0.3948,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260644
27,GPT-4o,logistic_regularized,0.6548,0.0598,0.6121,0.6511,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260645
27,GPT-4o,random_forest,0.6449,0.0635,0.6078,0.6762,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260645
27,GPT-4o,hist_gb,0.5887,0.0469,0.5746,0.6156,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260645
27,GPT-4o,xgboost,0.6157,0.061,0.5695,0.6122,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260645
27,Claude-3-5-Sonnet,logistic_regularized,0.6484,0.0526,0.61,0.5359,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260645
27,Claude-3-5-Sonnet,random_forest,0.6365,0.0496,0.603,0.502,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 20}",20260645
27,Claude-3-5-Sonnet,hist_gb,0.5834,0.0618,0.5734,0.4951,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260645
27,Claude-3-5-Sonnet,xgboost,0.5744,0.0509,0.571,0.4865,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260645
28,GPT-4o,logistic_regularized,0.6347,0.0558,0.6015,0.5976,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260646
28,GPT-4o,random_forest,0.6328,0.0593,0.6171,0.6397,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260646
28,GPT-4o,hist_gb,0.5702,0.0385,0.5466,0.5523,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260646
28,GPT-4o,xgboost,0.5809,0.0517,0.5809,0.5853,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260646
28,Claude-3-5-Sonnet,logistic_regularized,0.6042,0.0645,0.5557,0.4026,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260646
28,Claude-3-5-Sonnet,random_forest,0.6096,0.0439,0.5178,0.1773,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260646
28,Claude-3-5-Sonnet,hist_gb,0.5716,0.0553,0.566,0.457,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260646
28,Claude-3-5-Sonnet,xgboost,0.5646,0.0561,0.532,0.4064,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260646
29,GPT-4o,logistic_regularized,0.6404,0.0598,0.5876,0.594,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260647
29,GPT-4o,random_forest,0.6083,0.0655,0.5902,0.6108,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 20}",20260647
29,GPT-4o,hist_gb,0.5897,0.0586,0.5824,0.5862,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260647
29,GPT-4o,xgboost,0.5709,0.0614,0.5581,0.5718,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260647
29,Claude-3-5-Sonnet,logistic_regularized,0.6324,0.0514,0.5403,0.3002,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260647
29,Claude-3-5-Sonnet,random_forest,0.622,0.059,0.5161,0.1284,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260647
29,Claude-3-5-Sonnet,hist_gb,0.5881,0.0526,0.5906,0.4573,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260647
29,Claude-3-5-Sonnet,xgboost,0.6032,0.0429,0.6015,0.4533,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260647
